id,movie_id,category_id,created_at
270,90,1,2023-02-06 02:41:24.284543+00
271,90,17,2023-02-06 02:41:24.284543+00
272,90,18,2023-02-06 02:41:24.284543+00
273,91,1,2023-02-06 02:42:50.186332+00
274,91,18,2023-02-06 02:42:50.186332+00
275,91,17,2023-02-06 02:42:50.186332+00
276,92,1,2023-02-06 02:44:46.415305+00
277,92,2,2023-02-06 02:44:46.415305+00
278,92,18,2023-02-06 02:44:46.415305+00
279,92,17,2023-02-06 02:44:46.415305+00
280,93,1,2023-02-06 02:50:13.584403+00
281,93,18,2023-02-06 02:50:13.584403+00
282,93,17,2023-02-06 02:50:13.584403+00
283,94,1,2023-02-06 02:52:18.612319+00
284,94,17,2023-02-06 02:52:18.612319+00
285,94,18,2023-02-06 02:52:18.612319+00
286,95,1,2023-02-06 02:55:50.601452+00
287,95,2,2023-02-06 02:55:50.601452+00
288,95,18,2023-02-06 02:55:50.601452+00
289,96,1,2023-02-06 03:03:05.160661+00
290,96,2,2023-02-06 03:03:05.160661+00
291,96,18,2023-02-06 03:03:05.160661+00
292,97,1,2023-02-06 03:05:02.534923+00
293,97,2,2023-02-06 03:05:02.534923+00
294,97,18,2023-02-06 03:05:02.534923+00
295,98,1,2023-02-06 03:33:21.909068+00
296,98,17,2023-02-06 03:33:21.909068+00
297,98,18,2023-02-06 03:33:21.909068+00
298,99,1,2023-02-06 03:36:39.595975+00
299,99,17,2023-02-06 03:36:39.595975+00
300,99,18,2023-02-06 03:36:39.595975+00
301,100,1,2023-02-06 03:41:43.945774+00
302,100,17,2023-02-06 03:41:43.945774+00
303,100,6,2023-02-06 03:41:43.945774+00
304,100,18,2023-02-06 03:41:43.945774+00
305,101,1,2023-02-06 03:44:23.049647+00
306,101,17,2023-02-06 03:44:23.049647+00
307,101,6,2023-02-06 03:44:23.049647+00
308,101,18,2023-02-06 03:44:23.049647+00
309,102,1,2023-02-06 03:47:03.877284+00
310,102,17,2023-02-06 03:47:03.877284+00
311,102,18,2023-02-06 03:47:03.877284+00
312,103,1,2023-02-06 03:50:22.559871+00
313,103,17,2023-02-06 03:50:22.559871+00
314,103,18,2023-02-06 03:50:22.559871+00
319,105,1,2023-02-06 04:00:16.571973+00
320,105,17,2023-02-06 04:00:16.571973+00
321,105,18,2023-02-06 04:00:16.571973+00
326,107,1,2023-02-06 04:05:14.797379+00
327,107,17,2023-02-06 04:05:14.797379+00
328,107,18,2023-02-06 04:05:14.797379+00
337,109,1,2023-02-06 06:59:12.916915+00
338,109,2,2023-02-06 06:59:12.916915+00
339,109,5,2023-02-06 06:59:12.916915+00
340,109,10,2023-02-06 06:59:12.916915+00
315,104,1,2023-02-06 03:55:43.681412+00
316,104,2,2023-02-06 03:55:43.681412+00
317,104,17,2023-02-06 03:55:43.681412+00
