id,movie_id,actor_id,created_at
364,104,51,2023-02-06 03:55:43.764901+00
365,104,73,2023-02-06 03:55:43.764901+00
366,104,74,2023-02-06 03:55:43.764901+00
367,104,67,2023-02-06 03:55:43.764901+00
368,104,72,2023-02-06 03:55:43.764901+00
369,104,11,2023-02-06 03:55:43.764901+00
370,104,141,2023-02-06 03:55:43.764901+00
371,104,142,2023-02-06 03:55:43.764901+00
372,104,68,2023-02-06 03:55:43.764901+00
373,105,21,2023-02-06 04:00:16.648057+00
374,105,11,2023-02-06 04:00:16.648057+00
375,105,51,2023-02-06 04:00:16.648057+00
376,105,73,2023-02-06 04:00:16.648057+00
377,105,74,2023-02-06 04:00:16.648057+00
378,105,67,2023-02-06 04:00:16.648057+00
379,105,68,2023-02-06 04:00:16.648057+00
387,107,21,2023-02-06 04:05:14.892158+00
388,107,11,2023-02-06 04:05:14.892158+00
389,107,73,2023-02-06 04:05:14.892158+00
390,107,74,2023-02-06 04:05:14.892158+00
391,107,67,2023-02-06 04:05:14.892158+00
392,107,62,2023-02-06 04:05:14.892158+00
393,107,72,2023-02-06 04:05:14.892158+00
394,107,141,2023-02-06 04:05:14.892158+00
395,107,32,2023-02-06 04:05:14.892158+00
396,106,21,2023-02-06 04:40:44.885667+00
397,106,73,2023-02-06 04:40:44.885667+00
398,106,74,2023-02-06 04:40:44.885667+00
399,106,67,2023-02-06 04:40:44.885667+00
400,106,62,2023-02-06 04:40:44.885667+00
401,106,72,2023-02-06 04:40:44.885667+00
402,106,141,2023-02-06 04:40:44.885667+00
403,108,51,2023-02-06 06:57:10.823179+00
404,108,50,2023-02-06 06:57:10.823179+00
405,108,104,2023-02-06 06:57:10.823179+00
406,108,144,2023-02-06 06:57:10.823179+00
407,109,51,2023-02-06 06:59:13.007982+00
408,109,50,2023-02-06 06:59:13.007982+00
409,109,144,2023-02-06 06:59:13.007982+00
410,109,104,2023-02-06 06:59:13.007982+00
411,110,51,2023-02-06 07:01:43.971519+00
412,110,98,2023-02-06 07:01:43.971519+00
413,111,51,2023-02-06 07:03:08.800209+00
414,111,126,2023-02-06 07:03:08.800209+00
415,112,51,2023-02-06 07:06:59.876928+00
416,112,145,2023-02-06 07:06:59.876928+00
417,112,98,2023-02-06 07:06:59.876928+00
418,112,146,2023-02-06 07:06:59.876928+00
419,113,51,2023-02-06 07:08:07.328866+00
420,114,51,2023-02-06 07:10:01.004814+00
421,114,37,2023-02-06 07:10:01.004814+00
422,115,51,2023-02-06 07:13:28.476752+00
423,115,147,2023-02-06 07:13:28.476752+00
424,116,51,2023-02-06 07:15:45.481002+00
425,116,32,2023-02-06 07:15:45.481002+00
426,116,19,2023-02-06 07:15:45.481002+00
427,117,51,2023-02-06 07:21:44.470245+00
428,117,11,2023-02-06 07:21:44.470245+00
